id,Site_Code,fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
,S152,"115","2321","2341",{80314A5C-1301-451B-8BEC-1E6A24F90214},"318",VOPA_067,ARBRE,ACPL,"1",,,,EMPRI,PUB,AUC,HAUAF2,AUC,AUC,AUC,AUC,AUC,FOFTR,CARTR,DEP25,"45",NON,"fente de fourche inclusion d'écorce petites branches mortes dans la cime, défauts d'élagage exposant l'aubier avec cals cicatriciels sur une tige principale et charpentière",ABSECT,2022,TVERTE, défauts majeurs et cime dépérissant,O,2021-09-09T15:15:11.000,TVJV,,DHP
,S152,"116","2322","2342",{73DE9CAD-5D68-4D82-B543-74120C440DE6},"312",VOPA_067,ARBRE,ULRU,"1",,,"64",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,FLBTR,BOMCI,BLSCI,BRATR,"70",NON,"tige de métal insérée dans le tronc avec écoulement de sève branches adventives petit chicot avec cavité dans la tete de l'arbre, Batiment",ELASSA,2023,TVERTE, ,O,2021-09-09T14:52:34.000,TVJV,,DHP
,S152,"117","2323","2343",{46085E7D-DBBF-4BF2-815D-798252524740},"312",VOPA_067,ARBRE,ACSA,"1",,,"72",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BLLCI,AUC,REJCI,"70",NON,"batiment, Branches adventives",AUC,,, ,O,2021-09-09T14:38:15.000,TVJV,,DHP
,S153,"118","2324","2344",{C67D0706-C8D6-44F1-A2D9-4E134799CD9B},"312",VOPA_067,ARBRE,GLTRIN,"1",,,"43",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,,AUC,,, ,O,2021-09-09T14:25:56.000,TVJV,,DHP
,S167,"119","2325","2345",{52B7F5D5-C6BB-4AEC-86DF-AD7481DD141A},"311",VOPA_067,ARBRE,ACPL,"1",,,"50",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,EXCRAC,"60",NON,enseigne,INSPRE,2022,TVERTE," dommages au racines jusqu'au collet racinaire, état à suivre. les arbres sur le côté latérale et coin de rue à suivre aussi à cause de l'excavation",O,2021-09-09T14:58:37.000,TVJV,,DHP
,S167,"120","2326","2346",{48F96072-4DC3-4D60-9523-DD3E40950461},"317",VOPA_067,ARBRE,ACSA,"1",,,"54.000000",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,CARCI,BOMCI,REJCI,"55",NON,"branches adventives, blessure sur une charpentiÃ¨re",ELCOMP,2023,TVERTE," br secondaire NE avec fente carié à retirer, bois mort et gourmands",O,2021-11-02T14:52:06.000,TVJV,,DHP
,S167,"121","2327","2347",{ACB46F43-FFB7-4FA7-AA7C-1172154A0A3B},"321",VOPA_067,ARBRE,ACPL,"1",,,"79",EMPRI,PUB,AUC,HAUAF2,AUC,AUC,AUC,AUC,AUC,FOFTR,BOMCI,DEP25,"70",NON,carie  fourche primaire et branche primaire,INSPRE,2023,TVERTE, dépérissement et carie à suivre avec haubans ,O,2021-09-09T15:22:53.000,TVJV,,DHP
,S167,"122","2328","2348",{9DD1915F-A150-488A-9359-FBB318A7CFC9},"327",VOPA_067,ARBRE,BEPA,"1",,,"36",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BRXCI,AUC,REJCI,"65",NON,"petite cavité dans une charpentière, Lampadaire",ELASSA,2024,TVERTE, ,O,2021-09-09T15:28:10.000,TVJV,,DHP
,S167,"123","2329","2349",{B93119AA-BD19-4F24-BADB-85DED4792EDA},"333",VOPA_067,ARBRE,ACSA,"1",,,"55",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,CARRAC,AUC,AUC,"70",NON, carie racines mais cicatrisation important,AUC,,, ,O,2021-09-09T15:33:08.000,TVJV,,DHP
,S167,"124","2330","2350",{CDCEC05A-7724-4584-9E08-01298546FC40},"347",VOPA_067,ARBRE,ACPLCK,"1",,,"46",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,"Espace croissance contraint + compaction cond édaphiques très pauvres abattage imminent, blessures avec carie peu profonde sur le tronc",AUC,,, ,O,2021-09-09T17:39:05.000,TVJV,,DHP
,S167,"125","2331","2351",{EBF4F82D-217A-4369-B23A-6E0511BD5666},"349",VOPA_067,ARBRE,QURU,"1",,,"78",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BOMCI,AUC,AUC,"75",NON,"inclusion d'Ã©corce, petites branches mortes. Batiment, demande de citoyen avril 2021",ELASSA,2021,WESTGA," a.macdougall.colas@gmail.com. Clear houses, prune only in winter due to oak wilt.",O,2021-04-20T15:08:13.000,WESTGA,,DHP
,S167,"126","2332","2352",{375E7D8A-9D36-4FBB-B76F-480E1917976B},"357",VOPA_067,ARBRE,ACPL,"1",,,"34",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,,FAETR,BCDCI,AUC,"80",NON,"Codominance majeure, collet trop profond a la plantation ou pose de terre trop en surface après. masse dense + aucune racine charpentière. Branches secondaires surplombantes",ELCOMP,2024,TVERTE, allègement et restructuration cime,O,2021-09-09T13:41:43.000,TVJV,,DHP
,S167,"127","2333","2353",{4F81032E-8699-4832-8CC8-E5BB7D606BEC},"361",VOPA_067,ARBRE,ACPL,"1",,,"82.000000",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"70",NON,"multiples gÃ©livures, branche arrachÃ©e sur une charpentiÃ¨re, hauban accrochÃ© dans un chicot de charpentiÃ¨re et cavitÃ©s dans la charpentiÃ¨re avec grosse branche secondaire au-dessus de la rue. Batiment et lampadaire",AUC,,,,N,,,,DHP
,S167,"128","2334","2354",{56171463-ECFE-49E1-9201-99B13C6B02F8},"4350",VOPA_121,ARBRE,ACFRAB,"1",,,"81",EMPRI,PUB,AUC,AUC,AUC,BATIM,AUC,AUC,AUC,AUC,AUC,BRATR,"80",NON, Branches adventives,ELCOMP,2024,TVERTE, dégagement et suppression de gourmands,O,2021-09-09T13:05:15.000,TVJV,,DHP
,S168,"129","2335","2355",{AD395615-D062-4627-815A-143BD9540698},"4350",VOPA_121,ARBRE,CEOCPS,"1",,,"9",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,"dÃ©perrissement A 50%, trous de pics, branches adventives, signes d'agrile",AUC,,,,O,2021-09-03T19:22:45.000,TVJV,,DHP
,S168,"130","2336","2356",{38614822-4033-4E43-AB4F-97AEF282E77B},"4342",VOPA_121,ARBRE,ACSA,"1",,,"37",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BRATR,"70",NON,,AUC,,, ,O,2021-09-03T19:25:02.000,TVJV,,DHP
,S168,"131","2337","2357",{807F299D-5102-4A09-B804-4EAE68F62AD8},"4342",VOPA_121,ARBRE,ACSA,"1",,,"49",EMPRI,PUB,AUC,AUC,AUC,BATIM,AUC,AUC,AUC,AUC,AUC,BRATR,"80",NON,,AUC,,, ,O,2021-09-03T19:27:11.000,TVJV,,DHP
,S169,"132","2338","2358",{0324E45A-FC78-4473-8C96-95EC52A7E3FC},"376",VOPA_109,ARBRE,ACPL,"1",,,"73",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOFTR,CARTR,AUC,"65",NON,"grosse blessure de la fourche aux racines, petites branches mortes",HAFLSS,90,TVERTE, haubanage triangulaire ,O,2021-09-10T14:06:46.000,TVJV,,DHP
,S169,"133","2339","2359",{DA816F47-E034-4D6F-A2ED-16589682BDB5},"376",VOPA_109,ARBRE,ACPL,"1",,,"47",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,batiment et enseigne,AUC,,, ,O,2021-09-10T14:11:34.000,TVJV,,DHP
,S169,"134","2340","2360",{3C451C4D-546A-49DD-B332-3AB55BB8D1BB},"368",VOPA_109,DISPO,,"0",,,"5,000000",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,,NON, arbre disparu (OSVI) TV-JV,,,, ,O,2021-09-10T14:35:46.000,TVJV,,DHP
,S169,"135","2341","2361",{715E110A-45B7-4210-8652-C650F3B71056},"368",VOPA_109,ARBRE,ACSA,"1",,,"80",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BOMCI,CVLCI,AUC,"70",NON,inclusion d'écorce petite cavité sur une branche,ELASSA,2022,TVERTE, ,O,2021-09-10T14:41:17.000,TVJV,,DHP
,S169,"136","2342","2362",{80E3D656-DE36-4B65-98F6-8E2937E85D37},"346",VOPA_109,ARBRE,ACPL,"1",,,"50",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOFTR,CARTR,DEP25,"45",NON,,ABSECT,2021,TVERTE, ,O,2021-09-10T15:17:32.000,TVJV,,DHP
,S169,"137","2343","2363",{36ADF879-3460-4554-B07F-6AC4CA0963F9},"344",VOPA_109,ARBRE,CDJA,"1",3,5.8000002,,EMPRI,PUB,AUC,TUTSS1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,,RETUSE,2022,WESTGA,,N,,,,DHP
,S169,"138","2344","2364",{E3EFFBCC-F6CD-42A6-BDE4-008F04078BAF},"336",VOPA_109,ARBRE,ACRU,"1",,,"37",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"75",NON,"carence minérale, petite blessure au pied",AUC,,, ,O,2021-09-10T15:22:51.000,TVJV,,DHP
,S169,"139","2345","2365",{1963AF7F-4357-4DF2-B9B4-A661D8A81B2B},"332",VOPA_109,ARBRE,ULAMNH,"1",,,"11",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BLMTR,"90",NON,"batiment. DÃ©perrissement, longue fente dans la fourche avec carie superficielle, lumiÃ¨re insÃ©rÃ©e dans l'arbre",INSPRE,30,WESTHA," Parlé au responsable du chantier, arbre non protégé ",N,,,,DHP
,S169,"140","2346","2366",{0A799F5A-F245-4233-8AA0-9A2AA0BD73A6},"328",VOPA_109,ARBRE,GLTRIN,"1",,,"34",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON, ,AUC,,, ,O,2021-09-10T15:29:38.000,TVJV,,DHP
,S169,"141","2347","2367",{F8B58374-0122-41FE-88C8-03B8F3048858},"320",VOPA_109,ARBRE,ACPL,"1",,,"37",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,RAETR,AUC,AUC,"75",NON, ,AUC,,, ,O,2021-09-10T16:53:33.000,TVJV,,DHP
,S158,"142","2348","2368",{B995778C-BC75-4E6A-8B74-55265DF03595},"320",VOPA_109,ARBRE,ACPL,"1",,,"61",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CHEBS,FEABC,FOFBC,AUC,"70",NON,"blessure sur br primaire côté SE avec fente sur br secondaire côté E, bois mort en cime, nécrose au tronc",HAFLSS,2022,TVERTE,"fourche secondaire centrale chancré à haubaner après de retirer la branche tertiaire centrale (chancre, fente active) et bois mort",O,2021-09-10T17:10:18.000,TVJV,,DHP
,S158,"143","2349","2369",{18089FF1-CF26-4DCF-94C5-CF1C27AC1153},"320",VOPA_109,ARBRE,ACPL,"1",,,"86",EMPRI,PUB,AUC,HAUAF1,AUC,AUC,AUC,AUC,CHETR,FOOTR,CVSTR,REJCI,"40",OUIARB,"branches mortes, gélivures, longue gélivure ouverte avec enfoncement du tronc, loupes, grosse loupe avec carie profonde, cavité dans la fourche. TV-JV blessure d'elagage carié important sur br primaire côté O",ABSECT,90,TVERTE,,O,2021-09-10T17:54:26.000,TVJV,,DHP
,S166,"144","2350","2370",{C9AFB545-08E9-451D-9A89-84DF1F76994F},"319",VOPA_109,ARBRE,TIAM,"1",,,"51",EMPRI,PUB,AUC,AUC,AUC,VOIPUB,TRIVIS,AUC,AUC,AUC,AUC,AUC,"75",NON,"criblure des feuilles, noeuds mal refermés",ELDEGA,2024,TVERTE, ,O,2021-09-14T14:35:13.000,TVJV,,DHP
,S170,"145","2351","2371",{A9540692-F756-4A19-A78F-0BDA813160A6},"319",VOPA_109,ARBRE,ACPL,"1",,,"78",EMPRI,PUB,AUC,AUC,AUC,LAMPFO,AUC,AUC,CHECI,FENBC,AUC,AUC,"75",NON,"petite cavité sur une charpentière le long de la gélivure, branches mortes",ELASSA,2023,TVERTE, ,O,2021-09-10T17:44:14.000,TVJV,,DHP
,S170,"146","2352","2372",{A79A4378-E77A-426E-8350-DDD2971532A3},"319",VOPA_109,ARBRE,ACPL,"1",,,"46",EMPRI,PUB,AUC,AUC,AUC,VOIPUB,BATIM,AUC,AUC,DEFCI,BRPBS,AUC,"70",NON,fentes aux tronc et branche primaire,AUC,,, ,O,2021-09-10T17:38:41.000,TVJV,,DHP
,S170,"147","2353","2373",{00EB92C5-2F1C-4F26-81B0-084392D5A163},"323",VOPA_109,ARBRE,ACPL,"1",,,"70",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CTRTR,CVSTR,CARBC,AUC,"50",NON,,ABSECT,2022,TVERTE, ,O,2021-09-10T17:32:26.000,TVJV,,DHP
,S170,"148","2354","2374",{77B6F693-2CD4-4B86-9691-31EC80105799},"323",VOPA_109,ARBRE,ACPL,"1",,,"46",EMPRI,PUB,AUC,AUC,AUC,LAMPFO,AUC,AUC,AUC,ECOTR,RAETR,DEP25,"65",NON,batiment. Petites branches mortes dans la cime,AUC,,, ,O,2021-09-10T15:48:23.000,TVJV,,DHP
,S170,"149","2355","2375",{DB07A790-488B-4979-AA22-2C15BE278582},"341",VOPA_109,ARBRE,PHAM,"1",,,"10",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,,,,, ,O,2021-09-10T15:20:57.000,TVJV,,DHP
,S170,"150","2356","2376",{5F089D93-4A9D-41D2-9120-9F19653A49E8},"345",VOPA_109,ARBRE,GYDI,"1",,,"7.000000",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,Gator,,,, ,N,,,,DHP
,S170,"151","2357","2377",{FA5A3C2E-D5DA-48F1-9238-EAED701EE2E2},"347",VOPA_109,ARBRE,QUPA,"1",,,"47",EMPRI,PUB,AUC,AUC,AUC,VOIPUB,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON, ,ELDEGA,2023,TVERTE, ,O,2021-09-10T15:08:36.000,TVJV,,DHP
,S170,"152","2358","2378",{A7BB1DC1-9C46-4EC9-B185-C50BCF612166},"351",VOPA_109,ARBRE,ALGL,"1",,,"11",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,"dÃ©perrissement A 50% branches adventives trous de pics,signes d'agrile",AUC,,, ,O,2021-09-10T15:04:24.000,TVJV,,DHP
,S170,"153","2359","2379",{0CAC021B-2A91-4195-97C9-DE6575879E7D},"359",VOPA_109,ARBRE,QUAL,"1",,,"59",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,GELTR,AUC,AUC,"80",NON,,AUC,,, ,O,2021-09-10T15:00:06.000,TVJV,,DHP
,S170,"154","2360","2380",{4ACD85AD-FE80-4533-95FC-C1B8DA25117A},"359",VOPA_109,ARBRE,COCO,"1",,,"8",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,"2 haubans dÃ©perrissement carie sur les racines longues gÃ©livures ouvertes sur le tronc et charpentiÃ¨res Ã©coulements, grosses branches mortes au dessus d'une entrÃ©e et du trottoir",AUC,,, ,O,2021-09-10T14:57:33.000,TVJV,,DHP
,S170,"155","2361","2381",{E2964EF9-39B5-4E28-BF29-95CA3A972E18},"377",VOPA_109,ARBRE,ACPL,"1",,,"52",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,DEFTR,BOMCI,AUC,"70",NON,"coude, petite gélivure sur une charpentière,petites blessures au pied, petites branches mortes",ELASSA,2023,TVERTE, ,O,2021-09-10T14:34:25.000,TVJV,,DHP
,S170,"156","2362","2382",{B54FF464-47A3-4392-A010-5FA4E9975485},"377",VOPA_109,ARBRE,ACPL,"1",,,"70",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,CVSTR,BLLBC,DEP25,"50",NON,"branches mortes de 8 cm de diamètre audessus d'une entrée de garage et de la rue loupes, gélivures sur le tronc et charpentière",INSPRE,2024,TVERTE," plusieurs branches retirées dans le passé, cime dépérissant et cavité au tronc à surveiller",O,2021-09-10T14:19:08.000,TVJV,,DHP
,S170,"157","2363","2383",{06C1B574-2DF5-49D0-B797-BA668BD37A1F},"377",VOPA_109,ARBRE,ACPL,"1",,,"79",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CHECI,BOMCI,BLSCI,AUC,"60",NON,"longue fente fermée dans la fourche sur une face ancienne gélivure sur une tige principale broussons, petites branches mortes",ELASSA,2022,TVERTE, branche tertiaire centrale avec blessure de trou de pic à retirer avec bois mort,O,2021-09-10T14:30:31.000,TVJV,,DHP
,S170,"158","2364","2384",{CE6C9B11-3E2E-441E-9C22-A97242752DA2},"377",VOPA_109,ARBRE,ULAMVF,"1",3.4000001,6.8000002,,EMPRI,PUB,AUC,TUTSS1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,,RETUSE,2022,WESTGA, ,N,,,,DHP
,S171,"159","2365","2385",{D0C4B73A-DFE9-488F-88EE-697741DF69F5},"4324",VOPA_121,ARBRE,ACPL,"1",,,"71",EMPRI,PUB,AUC,AUC,AUC,FILD01,TRIVIS,AUC,AUC,BLLBC,FENBC,BRABC,"70",NON,"loupes, gélivure sur une tige principale, petites branches mortes",ELASSA,2024,TVERTE," réduire branches surplombantes vers la rue, retirer bois mort et gourmands",O,2021-09-14T18:37:02.000,TVJV,,DHP
,S171,"160","2366","2386",{09338A7E-0D39-4EA1-A53A-687039EF1384},"368",VOPA_068,ARBRE,ACPLCK,"1",,,"33",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON, ,AUC,,, ,O,2021-09-14T18:05:31.000,TVJV,,DHP
,S171,"161","2367","2387",{2EA3E271-CBF2-4CA0-A4DC-E7794E2DA3D8},"364",VOPA_068,ARBRE,ACPLCK,"1",,,"39",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON, ,AUC,,, ,O,2021-09-14T17:42:59.000,TVJV,,DHP
,S171,"162","2368","2388",{DD597B1B-7D6C-4459-A3CA-335E731A3826},"360",VOPA_068,ARBRE,ACPLCK,"1",,,"40",EMPRI,PUB,AUC,AUC,AUC,ENTEAU,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,petite blessure au pied,AUC,,, ,O,2021-09-14T17:21:57.000,TVJV,,DHP
,S171,"163","2369","2389",{743F52CB-8B88-4917-B586-D286FAAC2F90},"358",VOPA_068,ARBRE,GIBI,"1",2.5999999,6,"5",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,eloicourchesne@gmail.com,RETUSE,2022,WESTGA, ,N,,,,DHP
,S171,"164","2370","2390",{299F0D2F-D049-4DF0-901A-FD526DA0BD44},"354",VOPA_068,ARBRE,GIBI,"1",,,"41",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON, ,AUC,,, ,O,2021-09-14T15:47:14.000,TVJV,,DHP
,S171,"165","2371","2391",{7F450F5E-B503-4324-8DDD-A01973F3ABC6},"352",VOPA_068,ARBRE,ACPLCK,"1",,,"33",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,GELTR,AUC,AUC,"80",NON, ,AUC,,, ,O,2021-09-14T15:45:59.000,TVJV,,DHP
,S171,"166","2372","2392",{6879556B-0180-444C-BF99-26B3E2CA3DF5},"350",VOPA_068,ARBRE,ACSA,"1",,,"101",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,CVSBC,AUC,CLACI,"35",OUIARB,"racines coupées auparavant et carie de racines loupes une charpentiere arrachée, une grose cavité sur ue tige principale bouchée",ABSECT,90,TVERTE, bois mort en cime au-dessus d'un stationnement et carie au collet racinaire important (>50%). fentes horizontales au tronc,O,2021-09-14T15:41:26.000,TVJV,,DHP
